patient,scenario,best_change_pct,final_change_pct,change_wk9_pct,erk_rebound_72h,time_nadir_d,ttp_d,G_fb,k_GEF_basal,k_bind,rho_grow,rho_kill,tau_R,k_Z_up,alpha_Z,beta_Z,Z_0,f_block
101,nsclc_mono,-30.144385966554154,344.31534858031006,72.07947577548654,76.77096214891864,7.0,28.333333333333332,1.1493896037615758,0.015773862667634912,0.07649241659985298,0.0004333585871319912,0.006363492825705165,26.60440462348318,0.005917424428071039,0.448274034542539,1.3510975783429515,0.033194147458595544,0.0
102,nsclc_mono,-26.031856934999485,131.13652700739286,3.0413202281173835,66.86823582138251,18.0,45.333333333333336,0.683684358791674,0.04007958170561389,0.15743523039348215,0.0003515931897380922,0.005578155119242461,30.12837609210698,0.0034118237749268393,2.733638141610294,1.0370934656805872,0.32889511713499303,0.0
103,nsclc_mono,-81.37613664269507,-79.90963625245404,-78.95010603670204,56.64814693220024,113.0,,2.091531779628627,0.01883143004302416,0.14203794165480182,0.0007192692078464513,0.006530418836296787,49.966503622877724,0.0010951559090216798,3.7365133632353276,0.8452482788267752,0.05464255954498041,0.0
104,nsclc_mono,-97.99192229398209,-97.99192229398209,-85.5377781474676,49.779645698323634,180.0,,0.8008971181899517,0.010640149273894286,0.09145415739437074,0.000510964642061146,0.005932454748825321,27.409651352970332,0.0022707919226304138,1.9048890828419718,0.6031559182632688,0.14410596972080789,0.0
105,nsclc_mono,-88.28191273871984,-88.28191273871984,-60.66176068384775,34.88918447306291,180.0,,0.599119368412382,0.03130940827604867,0.10506404138455476,0.000361565425408977,0.0028778975590838802,31.734914281347454,0.0031506118197861875,3.1191846058980013,0.17589286605354038,0.0007743935658979973,0.0
106,nsclc_mono,-93.88242819838825,-93.88242819838825,-75.81593790450484,51.47082508012044,180.0,,1.5478277148015387,0.02799651532646387,0.1369750909027179,0.0004513417852605232,0.0030324008758081836,23.957887702036146,0.0009591276315458395,2.351570822650082,0.36245146122668914,0.01595889853498664,0.0
107,nsclc_mono,-96.47099909568647,-96.47099909568647,-77.34738506280452,30.48879926742019,180.0,,0.4400378762587062,0.016588723896223328,0.16759656190628908,0.0005560530978274376,0.004826081675959427,32.32748673530825,0.003924258286514469,2.4390164519855655,0.49199540812794473,0.0019022127975870523,0.0
108,nsclc_mono,-42.66908873563953,-42.66908873563953,-22.52637037893099,54.51098921164079,180.0,,1.015556688931974,0.021048448266821156,0.14723825077296285,0.00035994298406175534,0.0013094879325446826,28.050241810503568,0.0023594934733869475,2.2598046016516493,0.47395736694177154,0.471072433245347,0.0
109,nsclc_mono,-99.99526463757704,-99.99526463757704,-98.44558469476407,36.17871168264799,180.0,,0.733643835215522,0.031547727115030504,0.15313103043855744,0.00026440990501138,0.009780669167951467,26.308203592572195,0.001540198921337441,2.4893433474273676,0.2527814333907151,0.20772577775848886,0.0
110,nsclc_mono,-20.190999999787895,-19.278113626780836,-20.092954472453982,59.78678296603673,77.0,,1.758966439108783,0.01870323583717661,0.08147720730799428,0.0003562930790296239,0.004779727828393226,51.77779912412903,0.0023432613628379265,14.259272704603125,0.40762957819551415,0.08303142876173064,0.0
111,nsclc_mono,-57.70143845868873,66.11405197086167,-56.50766056162648,55.835583725837466,51.0,86.0,2.270665198006797,0.031446290289967795,0.2209355456589847,0.0007099524978814376,0.003679820900084792,32.41807778337269,0.0009254738981055871,3.335240541676821,1.1584444912138445,0.0013362757041449483,0.0
112,nsclc_mono,-22.859183305995533,-17.401824752101447,-22.308844163544794,61.159248611893844,42.0,,1.128621877658009,0.01620011601059145,0.09370262879431748,0.00038395995099054766,0.0037521902603294037,37.22917205626519,0.00421536175579683,3.678388399682891,0.7208162508315072,0.17451419972367888,0.0
113,nsclc_mono,-99.93073665710128,-99.93073665710128,-95.60777324498825,37.75492407121867,180.0,,0.848535906205319,0.03530738534934924,0.17781810991500221,0.0004380006959078356,0.0060863845124807334,32.64076352960667,0.002897793283650857,0.9459512488620493,0.5822890578946669,0.0070342241351178695,0.0
